"","Rubrica","UF","Data","Valor"
"43","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-09-30",13627457
"44","Total-Receitas","AC","2008-09-30",202279179
"45","Total-Despesas","AC","2008-09-30",224225004
"46","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-10-31",84587207
"47","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-10-31",12731529
"48","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-10-31",14629576
"49","Total-Receitas","AC","2008-10-31",221200959
"50","Total-Despesas","AC","2008-10-31",226278739
"51","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-11-30",97712596
"52","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-11-30",13435285
"53","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-11-30",17779570
"54","Total-Receitas","AC","2008-11-30",318055212
"55","Total-Despesas","AC","2008-11-30",268487437
"56","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2008-12-31",136563391
"57","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2008-12-31",21200280
"58","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2008-12-31",21706833
"59","Total-Receitas","AC","2008-12-31",318483964
"60","Total-Despesas","AC","2008-12-31",414125048
"61","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-01-31",79891463
"62","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-01-31",11115293
"63","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-01-31",13997505
"64","Total-Receitas","AC","2009-01-31",238096387
"65","Total-Despesas","AC","2009-01-31",158977560
"66","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-02-28",92322387
"67","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-02-28",14808205
"68","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-02-28",16270129
"69","Total-Receitas","AC","2009-02-28",205302424
"70","Total-Despesas","AC","2009-02-28",180526334
"71","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-03-31",90955874
"72","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-03-31",14122792
"73","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-03-31",16781239
"74","Total-Receitas","AC","2009-03-31",209444632
"75","Total-Despesas","AC","2009-03-31",213299729
"76","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-04-30",91693416
"77","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-04-30",13371562
"78","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-04-30",15320487
"79","Total-Receitas","AC","2009-04-30",240898742
"80","Total-Despesas","AC","2009-04-30",221903282
"81","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-05-31",92506042
"82","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-05-31",14033048
"83","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-05-31",17422304
"84","Total-Receitas","AC","2009-05-31",239801573
"85","Total-Despesas","AC","2009-05-31",242000803
"86","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-06-30",100026941
"87","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-06-30",14949107
"88","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-06-30",16416541
"89","Total-Receitas","AC","2009-06-30",239903595
"90","Total-Despesas","AC","2009-06-30",247618226
"91","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-07-31",97164050
"92","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-07-31",13695028
"93","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-07-31",17739260
"94","Total-Receitas","AC","2009-07-31",190387161
"95","Total-Despesas","AC","2009-07-31",271210948
"96","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-08-31",95015286
"97","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-08-31",15233892
"98","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-08-31",16037430
"99","Total-Receitas","AC","2009-08-31",217717177
"100","Total-Despesas","AC","2009-08-31",276363457
"101","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-09-30",94466045
"102","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-09-30",14431544
"103","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-09-30",18012158
"104","Total-Receitas","AC","2009-09-30",268615545
"105","Total-Despesas","AC","2009-09-30",296185535
"106","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-10-31",92542773
"107","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-10-31",13719054
"108","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-10-31",14855781
"109","Total-Receitas","AC","2009-10-31",320558749
"110","Total-Despesas","AC","2009-10-31",305252934
"111","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-11-30",97343409
"112","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-11-30",14178949
"113","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-11-30",18319809
"114","Total-Receitas","AC","2009-11-30",379567086
"115","Total-Despesas","AC","2009-11-30",375127233
"116","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2009-12-31",145343653
"117","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2009-12-31",22352942
"118","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2009-12-31",24333921
"119","Total-Receitas","AC","2009-12-31",384073205
"120","Total-Despesas","AC","2009-12-31",559977172
"121","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-01-31",87388706
"122","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-01-31",11768953
"123","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-01-31",17534971
"124","Total-Receitas","AC","2010-01-31",255402718
"125","Total-Despesas","AC","2010-01-31",195645773
"126","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-02-28",89284990
"127","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-02-28",15143234
"128","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-02-28",15851485
"129","Total-Receitas","AC","2010-02-28",207980434
"130","Total-Despesas","AC","2010-02-28",183560720
"131","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-03-31",95676613
"132","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-03-31",14861816
"133","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-03-31",19442780
"134","Total-Receitas","AC","2010-03-31",217561834
"135","Total-Despesas","AC","2010-03-31",257097907
"136","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-04-30",96554799
"137","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-04-30",14420232
"138","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-04-30",16883654
"139","Total-Receitas","AC","2010-04-30",263304316
"140","Total-Despesas","AC","2010-04-30",271882805
"141","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-05-31",95112128
"142","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-05-31",15140568
"143","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-05-31",19546996
"144","Total-Receitas","AC","2010-05-31",292230466
"145","Total-Despesas","AC","2010-05-31",282196233
"146","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-06-30",101856048
"147","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-06-30",14863017
"148","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-06-30",17674556
"149","Total-Receitas","AC","2010-06-30",266145632
"150","Total-Despesas","AC","2010-06-30",302786183
"151","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-07-31",100331534
"152","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-07-31",14748357
"153","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-07-31",17103939
"154","Total-Receitas","AC","2010-07-31",254413550
"155","Total-Despesas","AC","2010-07-31",312007575
"156","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-08-31",99818585
"157","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-08-31",15739924
"158","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-08-31",20718913
"159","Total-Receitas","AC","2010-08-31",313162818
"160","Total-Despesas","AC","2010-08-31",352734746
"161","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-09-30",102574049
"162","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-09-30",14517272
"163","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-09-30",18672384
"164","Total-Receitas","AC","2010-09-30",343437842
"165","Total-Despesas","AC","2010-09-30",391003896
"166","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-10-31",98972746
"167","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-10-31",16183761
"168","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-10-31",19414401
"169","Total-Receitas","AC","2010-10-31",340513429
"170","Total-Despesas","AC","2010-10-31",362981497
"171","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-11-30",113637465
"172","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-11-30",14551732
"173","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-11-30",25300803
"174","Total-Receitas","AC","2010-11-30",269421862
"175","Total-Despesas","AC","2010-11-30",344982366
"176","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2010-12-31",172027275
"177","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2010-12-31",28962741
"178","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2010-12-31",28681953
"179","Total-Receitas","AC","2010-12-31",291991483
"180","Total-Despesas","AC","2010-12-31",463396834
"181","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-01-31",91650746
"182","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-01-31",11523545
"183","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-01-31",20432030
"184","Total-Receitas","AC","2011-01-31",351703344
"185","Total-Despesas","AC","2011-01-31",227587683
"186","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-02-28",99152518
"187","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-02-28",17306727
"188","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-02-28",17400954
"189","Total-Receitas","AC","2011-02-28",354074245
"190","Total-Despesas","AC","2011-02-28",251469490
"191","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-03-31",104186446
"192","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-03-31",16589165
"193","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-03-31",21547405
"194","Total-Receitas","AC","2011-03-31",273325706
"195","Total-Despesas","AC","2011-03-31",256459304
"196","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-04-30",103600205
"197","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-04-30",14807288
"198","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-04-30",19653090
"199","Total-Receitas","AC","2011-04-30",281391036
"200","Total-Despesas","AC","2011-04-30",246001518
"201","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-05-31",103290943
"202","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-05-31",16231149
"203","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-05-31",20990063
"204","Total-Receitas","AC","2011-05-31",308306485
"205","Total-Despesas","AC","2011-05-31",239720397
"206","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-06-30",112656564
"207","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-06-30",16398405
"208","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-06-30",21828589
"209","Total-Receitas","AC","2011-06-30",294085423
"210","Total-Despesas","AC","2011-06-30",261074278
"211","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-07-31",116925491
"212","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-07-31",17668798
"213","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-07-31",22191539
"214","Total-Receitas","AC","2011-07-31",275255171
"215","Total-Despesas","AC","2011-07-31",313524130
"216","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-08-31",112821016
"217","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-08-31",17045778
"218","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-08-31",23363216
"219","Total-Receitas","AC","2011-08-31",292935301
"220","Total-Despesas","AC","2011-08-31",313688154
"221","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-09-30",111196791
"222","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-09-30",16386585
"223","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-09-30",21971245
"224","Total-Receitas","AC","2011-09-30",259186148
"225","Total-Despesas","AC","2011-09-30",268913237
"226","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-10-31",109522367
"227","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-10-31",16963963
"228","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-10-31",21793542
"229","Total-Receitas","AC","2011-10-31",274041482
"230","Total-Despesas","AC","2011-10-31",263270319
"231","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-11-30",122230786
"232","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-11-30",18123849
"233","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-11-30",27213991
"234","Total-Receitas","AC","2011-11-30",287322273
"235","Total-Despesas","AC","2011-11-30",324514339
"236","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2011-12-31",183373270
"237","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2011-12-31",28052762
"238","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2011-12-31",33382002
"239","Total-Receitas","AC","2011-12-31",344280421
"240","Total-Despesas","AC","2011-12-31",507747795
"241","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-01-31",117462923
"242","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-01-31",10900232
"243","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-01-31",23264317
"244","Total-Receitas","AC","2012-01-31",324426996
"245","Total-Despesas","AC","2012-01-31",237947778
"246","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-02-29",126795333
"247","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-02-29",13902901
"248","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-02-29",25599683
"249","Total-Receitas","AC","2012-02-29",314139578
"250","Total-Despesas","AC","2012-02-29",260118260
"251","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-03-31",125101842
"252","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-03-31",13032705
"253","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-03-31",26506711
"254","Total-Receitas","AC","2012-03-31",284283829
"255","Total-Despesas","AC","2012-03-31",286414900
"256","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-04-30",123392017
"257","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-04-30",12200531
"258","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-04-30",23204623
"259","Total-Receitas","AC","2012-04-30",295663295
"260","Total-Despesas","AC","2012-04-30",299943681
"261","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-05-31",122280841
"262","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-05-31",13092385
"263","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-05-31",27126769
"264","Total-Receitas","AC","2012-05-31",332350725
"265","Total-Despesas","AC","2012-05-31",314197992
"266","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-06-30",126229164
"267","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-06-30",12142491
"268","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-06-30",22587795
"269","Total-Receitas","AC","2012-06-30",312100262
"270","Total-Despesas","AC","2012-06-30",334612993
"271","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-07-31",128179039
"272","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-07-31",13242010
"273","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-07-31",23805914
"274","Total-Receitas","AC","2012-07-31",324104835
"275","Total-Despesas","AC","2012-07-31",361431699
"276","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-08-31",124544775
"277","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-08-31",12420756
"278","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-08-31",26751625
"279","Total-Receitas","AC","2012-08-31",321164392
"280","Total-Despesas","AC","2012-08-31",370366593
"281","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-09-30",126938108
"282","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-09-30",13679331
"283","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-09-30",27475781
"284","Total-Receitas","AC","2012-09-30",271157338
"285","Total-Despesas","AC","2012-09-30",368610072
"286","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-10-31",136472497
"287","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-10-31",13068622
"288","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-10-31",25219656
"289","Total-Receitas","AC","2012-10-31",284081372
"290","Total-Despesas","AC","2012-10-31",374208907
"291","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-11-30",147859532
"292","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-11-30",13063990
"293","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-11-30",35661720
"294","Total-Receitas","AC","2012-11-30",348244860
"295","Total-Despesas","AC","2012-11-30",388275218
"296","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2012-12-31",210639846
"297","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2012-12-31",23339724
"298","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2012-12-31",36056279
"299","Total-Receitas","AC","2012-12-31",388753235
"300","Total-Despesas","AC","2012-12-31",540448925
"301","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2013-01-31",124444982
"302","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2013-01-31",11790245
"303","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2013-01-31",22709785
"304","Total-Receitas","AC","2013-01-31",366485960
"305","Total-Despesas","AC","2013-01-31",243613423
"306","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2013-02-28",116632858
"307","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2013-02-28",19638550
"308","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2013-02-28",29201041
"309","Total-Receitas","AC","2013-02-28",370694126
"310","Total-Despesas","AC","2013-02-28",266593865
"311","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","AC","2013-03-31",131957080
"312","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","AC","2013-03-31",16458138
"313","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","AC","2013-03-31",29763793
"314","Total-Receitas","AC","2013-03-31",294506125
